Vin,Year,Make,Model,Style,Type,Doors,Fuel Type,City Mileage,Highway Mileage,Engine Type,Transmission,Drivetrain,MSRP
1GNUKJE34AR235400,2010,Chevrolet,Suburban,SPORT UTILITY 4-DR,,,,,,5.3L V8 OHV 16V FFV,6A,4WD,"$46,990 USD"
JN1BJ1CR2KW341716,2019,Nissan,Rogue Sport,SPORT UTILITY 4-DR,,,,24 miles/gallon,30 miles/gallon,2.0L L4 DOHC 16V,CVT,AWD,"$29,310 USD"
2C4RDGCG9KR807302,2019,Dodge,Grand Caravan,SPORTS VAN,,,,17 miles/gallon,25 miles/gallon,3.6L V6 DOHC 24V,6A,FWD,"$31,750 USD"
1GKDT13S742167028,2004,GMC,Envoy,SPORT UTILITY 4-DR,,,,15 miles/gallon,21 miles/gallon,4.2L L6 DOHC 24V,4A,4WD,"$31,470 USD"
JTEDS42A282057420,2008,Toyota,Highlander,SPORT UTILITY 4-DR,,,,18 miles/gallon,24 miles/gallon,3.5L V6 DOHC 24V,5A,FWD,"$32,700 USD"
WDDEJ71X98A016815,2008,Mercedes-Benz,CL-Class,COUPE 2-DR,,,,14 miles/gallon,21 miles/gallon,5.5L V8 DOHC 32V,7A,RWD,"$103,600 USD"
JTEZU17R058028567,2005,Toyota,4Runner,SPORT UTILITY 4-DR,,,,18 miles/gallon,22 miles/gallon,4.0L V6 DOHC 24V,5A,RWD,"$34,070 USD"
JTEZU14R98K018194,2008,Toyota,4Runner,SPORT UTILITY 4-DR,,,,16 miles/gallon,21 miles/gallon,4.0L V6 DOHC 24V,5A,RWD,"$30,325 USD"
2HKRM4H58DH689863,2013,Honda,CR-V,SPORT UTILITY 4-DR,,,,22 miles/gallon,30 miles/gallon,2.4L L4 DOHC 16V,5A,4WD,"$26,045 USD"
2G1FK3DJ2B9191897,2011,Chevrolet,Camaro,CONVERTIBLE 2-DR,,,,16 miles/gallon,24 - 25 miles/gallon,6.2L V8 OHV 16V,6A,RWD,"$39,650 USD"
1GCEK19T66Z212117,2006,Chevrolet,Silverado 1500,EXTENDED CAB PICKUP 4-DR,,,,15 miles/gallon,19 miles/gallon,5.3L V8 OHV 16V,4A,4WD,"$27,250 USD"
5N1AR2MM7EC724031,2014,Nissan,Pathfinder,SPORT UTILITY 4-DR,,,,19 miles/gallon,25 miles/gallon,3.5L V6 DOHC 24V,CVT,4WD,"$30,300 USD"
1GNKVGKD3FJ324945,2015,Chevrolet,Traverse,SPORT UTILITY 4-DR,,,,16 miles/gallon,23 miles/gallon,3.6L V6 DOHC 24V,6A,AWD,"$35,620 USD"
5TBDT44174S465437,2004,Toyota,Tundra,CREW CAB PICKUP 4-DR,,,,14 miles/gallon,17 miles/gallon,4.7L V8 DOHC 32V,4A,4WD,"$28,975 USD"
SAJWA43BX85B24212,2008,Jaguar,XK-Series,COUPE 2-DR,,,,16 miles/gallon,25 miles/gallon,4.2L V8 DOHC 32V,6A,RWD,"$74,835 USD"
WVWBW7AH8CV004681,2012,Volkswagen,Eos,CONVERTIBLE 2-DR,,,,22 miles/gallon,29 miles/gallon,2.0L L4 DOHC 16V,6A,FWD,"$33,995 USD"
2C4RDGBG4JR214043,2018,Dodge,Grand Caravan,SPORTS VAN,,,,17 miles/gallon,25 miles/gallon,3.6L V6 DOHC 24V,6A,FWD,"$25,995 USD"
2T3RFREV3FW257477,2015,Toyota,RAV4,SPORT UTILITY 4-DR,,,,22 miles/gallon,29 miles/gallon,2.5L L4 DOHC 16V,6A,AWD,"$26,640 USD"
5XYKTCA69DG367015,2013,Kia,Sorento,SPORT UTILITY 4-DR,,,,21 miles/gallon,28 miles/gallon,2.4L L4 DOHC 16V,6A,4WD,"$25,350 USD"
1FBZX2ZM3FKB01703,2015,Ford,Transit,PASSENGER VAN,,,,,,3.7L V6 DOHC 24V,6A,RWD,"$37,250 USD"
1J4FY19P3PP242477,1993,Jeep,Wrangler,SPORT UTILITY 2-DR,,,,18 miles/gallon,20 miles/gallon,2.5L L4 OHV 8V,5M,4WD,"$10,925 USD"
5TBDV54187S475205,2007,Toyota,Tundra,CREW CAB PICKUP 4-DR,,,,14 miles/gallon,18 miles/gallon,5.7L V8 DOHC 32V,6A,4WD,"$33,985 USD"
2GKFLWE39F6347953,2015,GMC,Terrain,SPORT UTILITY 4-DR,,,,17 - 22 miles/gallon,24 - 32 miles/gallon,3.6L V6 DOHC 24V,6A,FWD,"$28,060 USD"
1FTFW1ET8DFD16671,2013,Ford,F-150,CREW CAB PICKUP 4-DR,,,,12 - 15 miles/gallon,16 - 21 miles/gallon,3.5L V6 TURBO,6A,4WD,"$41,245 USD"
JF2SHACC5BH705671,2011,Subaru,Forester,SPORT UTILITY 4-DR,,,,21 miles/gallon,27 miles/gallon,2.5L H4 SOHC 16V,4A,AWD,"$26,495 USD"
5TESN92N54Z337860,2004,Toyota,Tacoma,EXTENDED CAB PICKUP 2-DR,,,,17 miles/gallon,20 miles/gallon,3.4L V6 DOHC 24V,4A,RWD,"$17,935 USD"
2T3DK4DV4AW019687,2010,Toyota,RAV4,SPORT UTILITY 4-DR,,,,19 miles/gallon,26 miles/gallon,3.5L V6 DOHC 24V,5A,4WD,"$27,810 USD"
2C3CDYCJ7CH155816,2012,Dodge,Challenger,COUPE 2-DR,,,,14 miles/gallon,22 - 23 miles/gallon,6.4L V8 OHV 16V,5A,RWD,"$43,995 USD"
2B3CL5CT8BH616438,2011,Dodge,Charger,SEDAN 4-DR,,,,16 miles/gallon,25 miles/gallon,5.7L V8 OHV 16V,5A,RWD,"$30,170 USD"
2G1WC5EM4B1183395,2011,Chevrolet,Impala,SEDAN 4-DR,,,,17 miles/gallon,27 miles/gallon,3.9L V6 DOHC 16V FFV,4A,FWD,"$29,930 USD"
1GNFLFEK5FZ129331,2015,Chevrolet,Equinox,SPORT UTILITY 4-DR,,,,16 - 20 miles/gallon,23 - 29 miles/gallon,2.4L L4 DOHC 16V FFV,6A,AWD,"$27,920 USD"
5TEKU72N36Z241977,2006,Toyota,Tacoma,CREW CAB PICKUP 4-DR,,,,18 miles/gallon,22 miles/gallon,4.0L V6 DOHC 24V,5A,RWD,"$22,740 USD"
2FMDK3KCXBBA77556,2011,Ford,Edge,SPORT UTILITY 4-DR,,,,19 miles/gallon,27 miles/gallon,3.5L V6 DOHC 24V,6A,FWD,"$34,525 USD"
1FMCU9HD2KUC30806,2019,Ford,Escape,SPORT UTILITY 4-DR,,,,22 miles/gallon,28 miles/gallon,1.5L L4 DOHC 16V,6A,4WD,"$29,945 USD"
2GNFLEEK9C6395341,2012,Chevrolet,Equinox,SPORT UTILITY 4-DR,,,,16 - 20 miles/gallon,23 - 29 miles/gallon,2.4L L4 DOHC 16V,6A,AWD,"$26,720 USD"
1FTEW1E44LKD39164,2020,Ford,F-150,CREW CAB PICKUP 4-DR,,,,15 miles/gallon,21 miles/gallon,3.5L V6 TURBO,6A,4WD,"$45,520 USD"
ZFBERFBB2H6F40350,2017,RAM,ProMaster City,PASSENGER VAN,,,,21 miles/gallon,28 miles/gallon,2.4L L4,9A,FWD,"$26,070 USD"
JTEEW21A570036537,2007,Toyota,Highlander Hybrid,SPORT UTILITY 4-DR,,,,31 miles/gallon,27 miles/gallon,3.3L V6 DOHC 24V HYBRID,CVT,4WD,"$36,010 USD"
1FTER4FH4KLA18129,2019,Ford,Ranger,CREW CAB PICKUP 4-DR,,,,20 miles/gallon,24 miles/gallon,2.3L L4 DOHC 16V,10A,4WD,"$30,680 USD"
4S4BRBCC4B3328860,2011,Subaru,Outback,WAGON 4-DR,,,,19 - 22 miles/gallon,27 - 29 miles/gallon,2.5L H4 DOHC 16V,CVT,AWD,"$24,495 USD"
1C6RD7GT1CS226133,2012,RAM,1500,CREW CAB PICKUP 4-DR,,,,13 miles/gallon,18 - 19 miles/gallon,5.7L V8 OHV 16V,5A,4WD,"$33,090 USD"
1GKFK16K6NJ700923,1992,GMC,Suburban,SPORT UTILITY 4-DR,,,,12 miles/gallon,16 miles/gallon,5.7L V8 OHV 16V,4A,4WD,"$20,593 USD"
3GKALTEV5JL327911,2018,GMC,Terrain,SPORT UTILITY 4-DR,,,,24 miles/gallon,28 miles/gallon,1.4L L4 DOHC 16V TURBO,6A,FWD,"$29,570 USD"
1FMJU2AT5LEA69475,2020,Ford,Expedition,SPORT UTILITY 4-DR,,,,17 miles/gallon,22 miles/gallon,3.5L V6 DOHC 24V FFV,6A,4WD,"$66,470 USD"
1GBE4C1217F409244,2007,Chevrolet,C4C042,CHASSIS AND CAB,,,,,,6.6L V8 OHV 32V TURBO DIESEL,,4X2,
3GCUCRER6HG481433,2017,Chevrolet,Silverado 1500,CREW CAB PICKUP 4-DR,,,,18 miles/gallon,24 miles/gallon,5.3L V8 OHV 16V,6A,RWD,"$38,980 USD"
1VWAP7A32CC085358,2012,Volkswagen,Passat,SEDAN 4-DR,,,,22 miles/gallon,31 miles/gallon,2.5L L5,6A,FWD,"$22,690 USD"
1C4HJXDG9KW558848,2019,Jeep,Wrangler,SPORT UTILITY 2-DR,,,,17 miles/gallon,23 miles/gallon,3.6L V6 DOHC 24V FFV,6M,4WD,"$31,545 USD"
1C4PJMLB5JD535870,2018,Jeep,Cherokee,SPORT UTILITY 4-DR,,,,21 miles/gallon,28 miles/gallon,2.4L L4 DOHC 16V,9A,4WD,"$27,795 USD"
JM1DE1KZ6E0186168,2014,Mazda,MAZDA2,WAGON 4-DR,,,,28 miles/gallon,34 miles/gallon,1.5L L4 DOHC 16V,4A,FWD,"$15,560 USD"
1GNDS13S882185792,2008,Chevrolet,TrailBlazer,SPORT UTILITY 4-DR,,,,16 miles/gallon,22 miles/gallon,4.2L L6 DOHC 24V,4A,RWD,"$29,440 USD"
5XYKT4A18DG341824,2013,Kia,Sorento,SPORT UTILITY 4-DR,,,,21 - 22 miles/gallon,29 - 32 miles/gallon,2.4L L4 DOHC 16V,6A,FWD,"$23,150 USD"
5N1DR2MN4HC627606,2017,Nissan,Pathfinder,SPORT UTILITY 4-DR,,,,20 miles/gallon,27 miles/gallon,3.5L V6 DOHC 24V,CVT,RWD,"$41,870 USD"
1GCEC14C77Z559056,2007,Chevrolet,Silverado 1500,REGULAR CAB PICKUP 2-DR,,,,16 miles/gallon,20 - 22 miles/gallon,4.8L V8 OHV 16V,4A,RWD,"$23,510 USD"
3GTU2NEC0JG353525,2018,GMC,Sierra 1500,CREW CAB PICKUP 4-DR,,,,16 miles/gallon,22 miles/gallon,5.3L V8 OHV 16V,6A,4WD,"$48,440 USD"
2C4RC1BG9ER228400,2014,Chrysler,Town & Country,SPORTS VAN,,,,17 miles/gallon,25 miles/gallon,3.6L V6 DOHC 24V,6A,FWD,"$30,765 USD"
1G1JC6SG8F4139649,2015,Chevrolet,Sonic,HATCHBACK 4-DR,,,,25 - 27 miles/gallon,35 - 37 miles/gallon,1.8L L4 DOHC 24V,6A,FWD,"$17,845 USD"
JF2SH636X9H734648,2009,Subaru,Forester,SPORT UTILITY 4-DR,,,,20 miles/gallon,26 miles/gallon,2.5L H4 SOHC 16V,4A,AWD,"$22,495 USD"
3LN6L2G94ER807142,2014,Lincoln,MKZ,SEDAN 4-DR,,,,19 - 22 miles/gallon,28 - 33 miles/gallon,2.0L L4 DOHC 16V,6A,FWD,"$36,190 USD"
1C4RJFBG3FC778981,2015,Jeep,Grand Cherokee,SPORT UTILITY 4-DR,,,,14 - 21 miles/gallon,20 - 28 miles/gallon,3.6L V6 DOHC 24V,8A,4WD,"$38,495 USD"
2C4RC1BG5JR142690,2018,Chrysler,Pacifica,PASSENGER VAN,,,,19 miles/gallon,28 miles/gallon,3.6L V6 DOHC 24V,9A,FWD,"$35,495 USD"
5TDDK3DC1BS021344,2011,Toyota,Sienna,SPORTS VAN,,,,16 miles/gallon,22 miles/gallon,3.5L V6 EFI DOHC 24V,5A,AWD,"$34,815 USD"
3C6UD5GLXCG182722,2012,RAM,2500,CREW CAB PICKUP 4-DR,,,,,,6.7L L6 OHV 24V TURBO DIESEL,6A,4WD,"$48,875 USD"
1FTFX1C69EFA19825,2014,Ford,F-150,EXTENDED CAB PICKUP 4-DR,,,,15 - 16 miles/gallon,21 - 22 miles/gallon,6.2L V8 SOHC 16V,6A,RWD,"$29,430 USD"
5TEUU42N48Z584274,2008,Toyota,Tacoma,EXTENDED CAB PICKUP 2-DR,,,,16 miles/gallon,20 miles/gallon,4.0L V6 DOHC 24V,5A,4WD,"$23,990 USD"
1FMJU1K50DEF69166,2013,Ford,Expedition,SPORT UTILITY 4-DR,,,,14 miles/gallon,20 miles/gallon,5.4L V8 SOHC 16V FFV,6A,RWD,"$46,305 USD"
1C4PJLCB5EW201052,2014,Jeep,Cherokee,SPORT UTILITY 4-DR,,,,,,2.4L L4 DOHC 16V,9A,FWD,"$24,495 USD"
JF2SHABC5BH738090,2011,Subaru,Forester,SPORT UTILITY 4-DR,,,,21 miles/gallon,27 miles/gallon,2.5L H4 SOHC 16V,4A,AWD,"$27,995 USD"
JN8AS5MV6BW286863,2011,Nissan,Rogue,SPORT UTILITY 4-DR,,,,22 miles/gallon,26 miles/gallon,2.5L L4 DOHC 16V,CVT,4WD,"$22,460 USD"
JN8AZ18U79W101722,2009,Nissan,Murano,SPORT UTILITY 4-DR,,,,18 miles/gallon,23 miles/gallon,3.5L V6 DOHC 24V,CVT,FWD,"$27,680 USD"
1GNSKCE05DR250596,2013,Chevrolet,Tahoe,SPORT UTILITY 4-DR,,,,15 miles/gallon,21 miles/gallon,5.3L V8 OHV 16V FFV,6A,4WD,"$56,400 USD"
2FMPK4J95KBC03847,2019,Ford,Edge,SPORT UTILITY 4-DR,,,,21 miles/gallon,28 miles/gallon,2.0L L4 DOHC 16V,6A,AWD,"$35,085 USD"
1GTV2UECXFZ154276,2015,GMC,Sierra 1500,EXTENDED CAB PICKUP 4-DR,,,,17 miles/gallon,22 miles/gallon,5.3L V8 OHV 16V,6A,4WD,"$39,385 USD"
4S4WX85C764402506,2006,Subaru,B9 Tribeca,SPORT UTILITY 2-DR,,,,18 miles/gallon,23 miles/gallon,3.0L H6 DOHC 24V,5A,AWD,"$32,395 USD"
1GNKRFKD8FJ128529,2015,Chevrolet,Traverse,SPORT UTILITY 4-DR,,,,17 miles/gallon,24 miles/gallon,3.6L V6 DOHC 24V,6A,FWD,"$30,820 USD"
5GAER23DX9J205372,2009,Buick,Enclave,SPORT UTILITY 4-DR,,,,17 miles/gallon,24 miles/gallon,3.6L V6 DOHC 24V,6A,FWD,"$37,380 USD"
1FTNE2EW9EDA74937,2014,Ford,Econoline,CARGO VAN,,,,12 - 13 miles/gallon,16 - 17 miles/gallon,4.6L V8 SOHC 16V,4A,RWD,"$30,060 USD"
1GCNCPEA1CZ355248,2012,Chevrolet,Silverado 1500,REGULAR CAB PICKUP 2-DR,,,,14 - 15 miles/gallon,19 - 21 miles/gallon,4.8L V6 OHV 16V,4A,RWD,"$21,945 USD"
2HKYF18187H537779,2007,Honda,Pilot,SPORT UTILITY 4-DR,,,,17 miles/gallon,22 miles/gallon,3.5L V6 SOHC 24V,5A,4WD,"$28,395 USD"
5FNRL18894B144989,2004,Honda,Odyssey,SPORTS VAN,,,,18 miles/gallon,25 miles/gallon,3.5L V6 SOHC 24V,5A,FWD,"$27,740 USD"
4T1BK36B87U169954,2007,Toyota,Avalon,SEDAN 4-DR,,,,22 miles/gallon,31 miles/gallon,3.5L V6 DOHC 24V,5A,FWD,"$34,065 USD"
3GNVKGE00AG242972,2010,Chevrolet,Avalanche,SPORT UTILITY 4-DR,,,,14 miles/gallon,20 miles/gallon,5.3L V8 OHV 16V FFV,4A,4WD,"$48,865 USD"
JN8AY2NC2J9557344,2018,Nissan,Armada,SPORT UTILITY 4-DR,,,,13 miles/gallon,18 miles/gallon,5.6L V8 DOHC 32V,7A,AWD,"$53,250 USD"
JTDKN3DU7A0225638,2010,Toyota,Prius,HATCHBACK 4-DR,,,,51 miles/gallon,48 miles/gallon,1.8L L4 DOHC 16V HYBRID,CVT,FWD,"$22,000 USD"
1FTFW1R61CFA73739,2012,Ford,F-150,CREW CAB PICKUP 4-DR,,,,11 miles/gallon,14 miles/gallon,6.2L V8 SOHC 16V,6A,4WD,"$45,470 USD"
TRUUC28N7Y1054010,2000,Audi,TT,COUPE 2-DR,,,,,,1.8L L4 DOHC 20V TURBO,6M,AWD,
3GNCA13B69S539734,2009,Chevrolet,HHR,EXTENDED SPORTS VAN,,,,22 miles/gallon,30 - 32 miles/gallon,2.2L L4 DOHC 16V,4A,FWD,"$18,720 USD"
JM3ER293090237791,2009,Mazda,CX-7,SPORT UTILITY 4-DR,,,,17 miles/gallon,23 miles/gallon,2.3L L4 DOHC 16V TURBO,6A,FWD,"$26,700 USD"
JTHBJ46G192294218,2009,Lexus,ES 350,SEDAN 4-DR,,,,19 miles/gallon,27 miles/gallon,3.5L V6 DOHC 24V,6A,FWD,"$34,320 USD"
1A8HW58257F563176,2007,Chrysler,Aspen,SPORT UTILITY 4-DR,,,,14 miles/gallon,18 - 19 miles/gallon,5.7L V8 OHV 16V,5A,4WD,"$33,810 USD"
JF1GV7E69DG031269,2013,Subaru,Impreza WRX,SEDAN 4-DR,,,,19 miles/gallon,25 miles/gallon,2.5L H4 DOHC 16V TURBO,5M,AWD,"$25,795 USD"
1GNDT13S252205267,2005,Chevrolet,TrailBlazer,SPORT UTILITY 4-DR,,,,15 miles/gallon,20 miles/gallon,4.2L L6 DOHC 24V,4A,4WD,"$28,715 USD"
3C4PDCAB2GT166375,2016,Dodge,Journey,SPORT UTILITY 4-DR,,,,19 miles/gallon,26 miles/gallon,2.4L L4 DOHC 16V,4A,FWD,"$20,895 USD"
WDDGF5EB4BA513386,2011,Mercedes-Benz,C-Class,SEDAN 4-DR,,,,18 miles/gallon,25 miles/gallon,3.0L V6 DOHC 24V,7A,RWD,"$35,900 USD"
1D8HN44E69B520062,2009,Dodge,Grand Caravan,SPORTS VAN,,,,17 miles/gallon,24 miles/gallon,3.3L V6 OHV 12V,4A,FWD,"$24,480 USD"
19UUA66236A020936,2006,Acura,TL,SEDAN 4-DR,,,,20 miles/gallon,29 miles/gallon,3.2L V6 SOHC 24V,5A,FWD,"$33,325 USD"
2FMDK3JC4DBA30513,2013,Ford,Edge,SPORT UTILITY 4-DR,,,,21 miles/gallon,30 miles/gallon,3.5L V6 DOHC 24V,6A,FWD,"$31,080 USD"
WVWGU73CX9E537881,2009,Volkswagen,CC,SEDAN 4-DR,,,,17 miles/gallon,25 miles/gallon,3.6L V6 DOHC 24V,6A,AWD,"$39,800 USD"
1G1AT18H197235645,2009,Chevrolet,Cobalt,COUPE 2-DR,,,,24 miles/gallon,33 miles/gallon,2.2L L4 DOHC 16V,4A,FWD,"$18,960 USD"
4M2CN8BG4AKJ20617,2010,Mercury,Mariner,SPORT UTILITY 4-DR,,,,,,3.0L V6,6A,FWD,
5J6TF2H50CL000083,2012,Honda,Crosstour,SPORT UTILITY 4-DR,,,,18 miles/gallon,26 miles/gallon,3.5L V6 SOHC 24V,5A,4WD,"$36,540 USD"
KMHTC6AD0FU226433,2015,Hyundai,Veloster,COUPE 2-DR,,,,26 miles/gallon,35 miles/gallon,1.6L L4 DOHC 16V,6M,FWD,"$17,900 USD"
WAUJGAFD6FN018348,2015,Audi,A8,SEDAN 4-DR,,,,19 miles/gallon,29 miles/gallon,3.0L V6 DOHC 24V SUPERCHARGED,8A,AWD,"$77,400 USD"
2G1FE1EV9A9205421,2010,Chevrolet,Camaro,COUPE 2-DR,,,,,26 miles/gallon,3.6L V6 DOHC 24V,6M,RWD,"$22,245 USD"
2FMDK4KC7ABA98031,2010,Ford,Edge,SPORT UTILITY 4-DR,,,,15 miles/gallon,22 miles/gallon,3.5L V6 DOHC 24V,6A,AWD,"$34,570 USD"
5TENX22N18Z560059,2008,Toyota,Tacoma,REGULAR CAB PICKUP 2-DR,,,,20 miles/gallon,25 miles/gallon,2.7L L4 DOHC 16V,5M,RWD,"$14,280 USD"
1G1ZC5E12BF324153,2011,Chevrolet,Malibu,SEDAN 4-DR,,,,22 miles/gallon,33 miles/gallon,2.4L L4 DOHC 16V,6A,FWD,"$22,825 USD"
5N1AR2MM1EC600448,2014,Nissan,Pathfinder,SPORT UTILITY 4-DR,,,,19 miles/gallon,25 miles/gallon,3.5L V6 DOHC 24V,CVT,4WD,"$30,300 USD"
1C4PJMCS2FW612982,2015,Jeep,Cherokee,SPORT UTILITY 4-DR,,,,19 - 21 miles/gallon,26 - 27 miles/gallon,3.2L V6 DOHC 24V,9A,4WD,"$26,595 USD"
WAUBFAFL3EN013539,2014,Audi,A4,SEDAN 4-DR,,,,20 miles/gallon,29 miles/gallon,2.0L L4 DOHC 16V TURBO,6A,AWD,"$35,900 USD"
1FTEW1EG2HFA48821,2017,Ford,F-150,CREW CAB PICKUP 4-DR,,,,15 miles/gallon,21 miles/gallon,3.5L V6 TURBO,6A,4WD,"$42,425 USD"
1C4RJFJT6EC239462,2014,Jeep,Grand Cherokee,SPORT UTILITY 4-DR,,,,14 - 20 miles/gallon,20 - 28 miles/gallon,5.7L V8 OHV 16V,5A,4WD,"$50,995 USD"
KMHTG6AF3KU012598,2019,Hyundai,Veloster,COUPE 2-DR,,,,27 miles/gallon,34 miles/gallon,2.0L L4 DOHC 16V,6A,FWD,"$19,500 USD"
SALCP2FX5KH808253,2019,Land Rover,Discovery Sport,SPORT UTILITY 4-DR,,,,21 miles/gallon,25 miles/gallon,2.0L L4 DOHC 16V,9A,AWD,"$37,795 USD"
2CNALBEC0B6238124,2011,Chevrolet,Equinox,SPORT UTILITY 4-DR,,,,22 miles/gallon,32 miles/gallon,2.4L L4 DOHC 16V,6A,FWD,"$22,995 USD"
1J4PN2GK7AW167127,2010,Jeep,Liberty,SPORT UTILITY 4-DR,,,,15 miles/gallon,21 miles/gallon,3.7L V6 SOHC 12V,4A,4WD,"$24,865 USD"
2FMDK3GC1ABA48048,2010,Ford,Edge,SPORT UTILITY 4-DR,,,,17 miles/gallon,24 miles/gallon,3.5L V6 DOHC 24V,6A,FWD,"$26,920 USD"
1GNSKBE02BR374588,2011,Chevrolet,Tahoe,SPORT UTILITY 4-DR,,,,15 miles/gallon,21 miles/gallon,5.3L V8 OHV 16V FFV,6A,4WD,"$45,680 USD"
5FNRL5H64EB028123,2014,Honda,Odyssey,SPORTS VAN,,,,19 miles/gallon,28 miles/gallon,3.5L V6 SOHC 24V,6A,FWD,"$35,625 USD"
1C4PJMAB2GW244274,2016,Jeep,Cherokee,SPORT UTILITY 4-DR,,,,21 miles/gallon,28 miles/gallon,2.4L L4 DOHC 16V,9A,4WD,"$25,295 USD"
1J4HR48N86C250913,2006,Jeep,Grand Cherokee,SPORT UTILITY 4-DR,,,,15 - 17 miles/gallon,20 - 21 miles/gallon,4.7L V8 SOHC 16V,5A,4WD,"$29,285 USD"
2G1WF55K0Y9203464,2000,Chevrolet,Impala,SEDAN 4-DR,,,,20 miles/gallon,29 - 32 miles/gallon,3.8L V6 OHV 12V,4A,FWD,"$18,790 USD"
1J4HR48N86C101823,2006,Jeep,Grand Cherokee,SPORT UTILITY 4-DR,,,,15 - 17 miles/gallon,20 - 21 miles/gallon,4.7L V8 SOHC 16V,5A,4WD,"$29,285 USD"
KM8JN72D75U088295,2005,Hyundai,Tucson,SPORT UTILITY 2-DR,,,,19 miles/gallon,24 miles/gallon,2.6L V6 DOHC 24V,4A,4WD,"$21,549 USD"
JTEEP21A750120708,2005,Toyota,Highlander,SPORT UTILITY 4-DR,,,,18 miles/gallon,24 miles/gallon,3.3L V6 DOHC 24V,5A,4WD,"$31,580 USD"
1G1ZT68N47F157970,2007,Chevrolet,Malibu MAXX,SEDAN 4-DR,,,,20 miles/gallon,29 miles/gallon,3.5L V6 OHV 12V,4A,FWD,"$20,575 USD"
JHLRE48558C059963,2008,Honda,CR-V,SPORT UTILITY 4-DR,,,,20 miles/gallon,26 miles/gallon,2.4L L4 DOHC 16V,5A,4WD,"$24,150 USD"
1J4HR58225C602135,2005,Jeep,Grand Cherokee,SPORT UTILITY 4-DR,,,,14 - 15 miles/gallon,19 - 20 miles/gallon,5.7L V8 OHV 16V,5A,4WD,"$34,470 USD"
WVGBV7AX4BW543295,2011,Volkswagen,Tiguan,SPORT UTILITY 4-DR,,,,19 miles/gallon,25 miles/gallon,2.0L L4 DOHC 16V TURBO,6A,AWD,"$26,775 USD"
1N4AL3AP1GC129677,2016,Nissan,Altima,SEDAN 4-DR,,,,27 miles/gallon,39 miles/gallon,2.5L L4 DOHC 16V,CVT,FWD,"$22,900 USD"
2T3BF33V59W021595,2009,Toyota,RAV4,SPORT UTILITY 4-DR,,,,21 miles/gallon,27 miles/gallon,2.4L L4 DOHC 16V,4A,4WD,"$22,900 USD"
KNDMB233796320018,2009,Kia,Sedona,SPORTS VAN,,,,16 miles/gallon,23 miles/gallon,3.8L V6 DOHC 24V,5A,FWD,"$27,745 USD"
4T1BF28B82U202150,2002,Toyota,Avalon,SEDAN 4-DR,,,,21 miles/gallon,29 miles/gallon,3.0L V6 DOHC 24V,4A,FWD,"$25,845 USD"
5N1AT2MV4KC774410,2019,Nissan,Rogue,SPORT UTILITY 4-DR,,,,25 miles/gallon,32 miles/gallon,2.5L L4 DOHC 16V,CVT,AWD,"$26,150 USD"
1GCVKREH9FZ304533,2015,Chevrolet,Silverado 1500,EXTENDED CAB PICKUP 4-DR,,,,18 miles/gallon,24 miles/gallon,4.3L V6 OHV 12V,6A,4WD,"$37,730 USD"
1G1FG3D78L0113044,2020,Chevrolet,Camaro,CONVERTIBLE 2-DR,,,,16 miles/gallon,24 miles/gallon,6.2L V8 OHV 16V,6M,RWD,"$48,000 USD"
4T1BK1EB1EU125992,2014,Toyota,Avalon,SEDAN 4-DR,,,,21 miles/gallon,31 miles/gallon,3.5L V6 DOHC 24V,6A,FWD,"$31,340 USD"
2C4RDGCG7FR536293,2015,Dodge,Grand Caravan,SPORTS VAN,,,,17 miles/gallon,25 miles/gallon,3.6L V6 DOHC 24V,6A,FWD,"$27,195 USD"
1FT7X2A68CEA98419,2012,Ford,F-250 SD,EXTENDED CAB PICKUP 4-DR,,,,,,6.2L V8 OHV 16V,6A,RWD,"$39,415 USD"
1FTFX1ET5EKG11958,2014,Ford,F-150,EXTENDED CAB PICKUP 4-DR,,,,12 - 15 miles/gallon,16 - 21 miles/gallon,3.5L V6 TURBO,6A,4WD,"$39,755 USD"
1FT7X2AT6EEA51494,2014,Ford,F-250 SD,EXTENDED CAB PICKUP 4-DR,,,,,,6.7L V8 OHV 16V DIESEL,6A,RWD,"$41,730 USD"
WBA3D5C55EKX95190,2014,BMW,3-Series,SEDAN 4-DR,,,,31 miles/gallon,43 miles/gallon,2.0L L4 DOHC 16V TURBO DIESEL,8A,AWD,"$40,600 USD"
JF1VA2U63F9805241,2015,Subaru,WRX,SEDAN 4-DR,,,,17 miles/gallon,23 miles/gallon,2.5L H4 DOHC 16V,6M,AWD,"$38,495 USD"
KM8SM4HFXHU203233,2017,Hyundai,Santa Fe,SPORT UTILITY 4-DR,,,,18 miles/gallon,25 miles/gallon,3.3L V6 DOHC 24V,6A,FWD,"$30,800 USD"
1GT321CG3FZ530862,2015,GMC,Sierra 3500HD,REGULAR CAB PICKUP 2-DR,,,,,,6.0L V8 OHV 16V FFV,6A,4WD,"$36,015 USD"
JF2SKAAC5KH458057,2019,Subaru,Forester,SPORT UTILITY 4-DR,,,,26 miles/gallon,33 miles/gallon,2.5L H4 SOHC 16V,CVT,AWD,"$24,295 USD"
3CZRE4H58AG706799,2010,Honda,CR-V,SPORT UTILITY 4-DR,,,,20 miles/gallon,26 miles/gallon,2.4L L4 DOHC 16V,5A,4WD,"$25,095 USD"
