vin,price,condition,fuel,size,type,odometer,state,lat,long
1GCVKREC5FZ375118,24980,excellent,gas,full-size,pickup,93988.0,va,39.141,-78.1909
2G1FB1E34C9156168,11995,good,gas,mid-size,coupe,116435.0,nm,34.8519,-106.691
1N4AL2AP7AN403356,6995,excellent,gas,mid-size,sedan,140000.0,va,38.9674,-78.4096
5Y2SL64893Z440124,4995,excellent,gas,compact,wagon,131000.0,va,38.9674,-78.4096
JF2SH63689H756406,5995,excellent,gas,full-size,wagon,170000.0,va,38.9674,-78.4096
4T3ZF13C9YU307675,4250,excellent,gas,full-size,mini-van,140000.0,va,38.9674,-78.4096
2CNDL73F256158836,5450,excellent,gas,full-size,SUV,138000.0,va,38.9674,-78.4096
JTDKB20U657041569,5995,excellent,hybrid,mid-size,hatchback,78000.0,va,38.9674,-78.4096
1FAHP35N19W160568,5995,excellent,gas,compact,sedan,69000.0,va,38.9674,-78.4096
KNDPMCAC3H7131746,14799,excellent,gas,full-size,SUV,44026.0,va,39.1501,-78.26899999999999
3LNHL2JC4AR650770,7990,excellent,gas,full-size,sedan,95000.0,va,38.9268,-78.1796
JF2SHADC1DH412657,7990,excellent,gas,full-size,wagon,147000.0,va,38.9268,-78.1796
1FMCU9DG3BKC24041,7750,excellent,gas,compact,SUV,113000.0,va,38.9268,-78.1796
5GAERBKWXLJ110353,30995,excellent,gas,full-size,SUV,35915.0,mn,45.8326,-95.3892
KL4CJFSB2GB559389,16500,like new,gas,compact,SUV,27000.0,mn,46.277,-99.6009
1GNSKBE05BR269415,15900,excellent,gas,full-size,SUV,123000.0,mn,46.277,-99.6009
1FAHP2E83DG123710,7900,excellent,gas,full-size,sedan,82000.0,mn,46.1855,-100.23299999999999
JTDKARFU3G3511876,18900,like new,hybrid,mid-size,sedan,26000.0,mn,46.1855,-100.23299999999999
5FNRL38709B044967,7990,excellent,gas,full-size,mini-van,120000.0,va,38.9268,-78.1796
1FMCU9D74AKC73795,6250,excellent,gas,mid-size,SUV,115000.0,va,38.9268,-78.1796
1GKFK66U63J319567,5990,excellent,gas,full-size,SUV,170000.0,va,38.9268,-78.1796
1J4GA39197L114008,17990,good,gas,full-size,SUV,156940.0,mn,47.9202,-97.045
1J4BA3H16BL574845,22990,good,gas,full-size,SUV,135362.0,mn,47.9202,-97.045
1FTRF3B6XBEC60050,19990,good,gas,full-size,pickup,128647.0,mn,47.9202,-97.045
1FDXW47R78EC31707,23990,good,diesel,full-size,pickup,133183.0,mn,47.9202,-97.045
3GNTKFE76DG255907,19990,excellent,gas,full-size,pickup,123212.0,mn,47.9202,-97.045
5FNRL18073B084946,4750,excellent,gas,full-size,mini-van,141000.0,va,38.9268,-78.1796
WBA5A5C59FD517335,7990,like new,gas,full-size,SUV,130000.0,va,38.9268,-78.1796
JF1SG63657H737025,4450,excellent,gas,full-size,wagon,182000.0,va,38.9268,-78.1796
1HGCP26308A033321,8499,excellent,gas,full-size,sedan,78869.0,va,38.9673,-78.4092
5J6RE4H56AL000188,8499,excellent,gas,full-size,SUV,127146.0,va,38.9673,-78.4092
JHMGE8H54BC000629,7699,excellent,gas,compact,hatchback,101758.0,va,38.9673,-78.4092
1GKKVTKD9EJ107775,13990,excellent,gas,full-size,SUV,162000.0,va,38.9268,-78.1796
1FTYR15E89PA58770,10990,good,gas,full-size,truck,114000.0,va,38.9268,-78.1796
1GKEV23D09J202270,6999,good,gas,full-size,SUV,149260.0,mn,46.8759,-96.7658
1D4GP45R06B713540,3990,excellent,gas,full-size,van,127000.0,va,38.9268,-78.1796
JTDKB20U777660989,4990,excellent,hybrid,mid-size,hatchback,189000.0,va,38.9268,-78.1796
KMHDU46D07U250134,4450,excellent,gas,compact,sedan,145000.0,va,38.9674,-78.4096
3GNEK13T13G144692,9995,excellent,gas,full-size,pickup,133000.0,va,38.9674,-78.4096
1FAHP37N79W159132,5495,excellent,gas,compact,sedan,128000.0,va,38.9674,-78.4096
1N4AL3AP6HC178309,16500,excellent,gas,mid-size,sedan,16000.0,va,38.9674,-78.4096
JF2SH6CC3AH716373,5995,excellent,gas,full-size,wagon,177000.0,va,38.9674,-78.4096
4S4BP61C887335182,7995,excellent,gas,full-size,wagon,82000.0,va,38.9674,-78.4096
JNKCA31A8YT120219,3995,excellent,gas,mid-size,sedan,128000.0,va,38.9674,-78.4096
2D4RN5D10AR301113,7250,excellent,gas,full-size,mini-van,129000.0,va,38.9674,-78.4096
5LMTJ2AH0FUJ42708,16990,good,gas,full-size,SUV,79307.0,mn,45.9786,-94.34200000000001
4S4BP62C087339922,4990,excellent,gas,full-size,wagon,197000.0,va,38.9268,-78.1796
1HGCG16432A081518,4250,excellent,gas,full-size,coupe,170000.0,va,38.9268,-78.1796
2C4RC1BG2CR252826,8990,good,gas,full-size,van,121352.0,mn,45.9786,-94.34200000000001
